Date,Platform,Post_ID,Content_Type,Likes,Shares,Comments,Impressions,Followers
02/03/2023,Twitter,Post_1,Video,747,270,147,10275,49194
07/09/2023,Instagram,Post_56,Image,176,191,124,77152,178123
10/04/2023,Instagram,Post_10,Image,991,450,218,42481,190561
10/09/2023,Twitter,Post_68,Carousel,71,428,167,71368,29504
6/17/2023,Facebook,Post_80,Image,771,190,141,11851,68611
06/12/2023,Instagram,Post_72,Carousel,814,66,72,91023,104835
2/16/2023,Twitter,Post_9,Image,847,30,173,55445,31304
3/24/2023,Twitter,Post_35,Image,593,380,82,91671,49723
11/13/2023,Facebook,Post_18,Text,487,110,145,38096,55478
7/16/2023,Facebook,Post_84,Image,391,434,22,46572,51259
06/02/2023,Instagram,Post_61,Video,521,125,84,68896,83891
07/02/2023,Twitter,Post_44,Video,558,216,57,63845,41963
1/27/2023,Twitter,Post_21,Carousel,709,73,166,41661,31868
4/21/2023,Twitter,Post_21,Carousel,923,60,292,81112,46420
6/17/2023,Twitter,Post_99,Video,904,466,170,67619,49790
9/24/2023,Twitter,Post_44,Text,537,174,130,4160,9273
11/05/2023,Facebook,Post_22,Image,12,24,101,63847,32469
8/24/2023,Instagram,Post_97,Carousel,441,308,69,49857,134813
3/15/2023,Instagram,Post_15,Text,869,357,252,66565,68072
11/14/2023,Twitter,Post_24,Text,318,317,142,60274,12042
4/19/2023,Instagram,Post_10,Video,685,292,135,94334,37657
1/13/2023,Twitter,Post_31,Carousel,77,270,174,4639,40352
10/26/2023,Twitter,Post_2,Carousel,356,66,33,35054,8857
11/12/2023,Instagram,Post_61,Video,602,227,55,51930,154897
4/13/2023,Twitter,Post_3,Image,903,126,150,87449,24786
12/29/2023,Twitter,Post_44,Image,177,128,80,67389,30946
03/12/2023,Instagram,Post_92,Image,13,10,11,80690,106428
3/30/2023,Instagram,Post_53,Text,98,111,70,88304,91702
05/10/2023,Facebook,Post_30,Video,259,468,130,49806,55245
5/24/2023,Twitter,Post_3,Video,620,301,161,68395,49892
03/04/2023,Facebook,Post_6,Video,364,492,88,52801,65155
02/09/2023,Twitter,Post_67,Image,219,441,87,73064,11341
6/24/2023,Twitter,Post_92,Video,397,489,172,86834,13883
07/06/2023,Twitter,Post_61,Video,465,404,53,30245,13893
9/26/2023,Twitter,Post_80,Image,304,456,138,2594,28374
7/14/2023,Facebook,Post_53,Image,0,136,73,27526,95062
8/20/2023,Twitter,Post_39,Video,626,10,87,9359,43331
1/25/2023,Instagram,Post_87,Image,827,379,160,3492,90728
9/21/2023,Instagram,Post_11,Text,222,188,119,66171,51315
2/23/2023,Twitter,Post_2,Carousel,23,90,201,32747,20485
6/21/2023,Instagram,Post_32,Carousel,261,202,135,84861,150491
7/28/2023,Facebook,Post_41,Video,567,268,199,1387,66124
07/07/2023,Facebook,Post_54,Carousel,55,236,49,1222,10700
10/15/2023,Facebook,Post_61,Image,348,75,145,20727,72068
10/24/2023,Twitter,Post_72,Video,481,244,225,52857,10564
8/17/2023,Instagram,Post_73,Carousel,874,244,80,87150,154157
08/02/2023,Facebook,Post_96,Carousel,540,249,8,19704,45158
8/28/2023,Instagram,Post_56,Text,294,442,289,39937,119901
7/22/2023,Facebook,Post_73,Carousel,540,275,191,48937,11301
10/19/2023,Facebook,Post_84,Text,260,330,156,94801,47908
03/02/2023,Facebook,Post_57,Text,165,292,134,31082,89924
8/30/2023,Instagram,Post_50,Carousel,482,395,167,67779,196174
2/18/2023,Instagram,Post_47,Video,306,133,104,98429,64029
08/02/2023,Facebook,Post_47,Text,478,31,138,85186,33824
2/26/2023,Twitter,Post_20,Image,286,93,294,29898,42448
2/24/2023,Facebook,Post_19,Text,314,300,157,59758,44349
01/05/2023,Facebook,Post_38,Text,728,287,174,83825,41085
03/11/2023,Twitter,Post_89,Video,859,135,118,25757,37473
08/07/2023,Twitter,Post_100,Text,839,232,140,67514,19977
7/17/2023,Instagram,Post_37,Carousel,259,101,201,43103,120164
07/03/2023,Instagram,Post_14,Image,798,310,110,57053,51683
09/03/2023,Instagram,Post_50,Carousel,588,289,141,77000,60788
9/18/2023,Facebook,Post_63,Carousel,814,331,156,11676,63621
3/26/2023,Twitter,Post_91,Carousel,269,444,226,3963,38243
10/04/2023,Instagram,Post_76,Video,853,441,187,19605,158434
11/16/2023,Facebook,Post_66,Text,685,347,241,23467,77829
12/18/2023,Instagram,Post_22,Text,220,220,223,38359,39147
3/18/2023,Instagram,Post_71,Video,942,418,258,48730,117264
09/07/2023,Twitter,Post_44,Video,938,139,156,92987,5854
10/13/2023,Facebook,Post_6,Text,255,104,283,35346,91618
5/28/2023,Twitter,Post_55,Video,733,214,136,93072,27690
04/06/2023,Instagram,Post_17,Carousel,724,373,17,33321,38714
08/09/2023,Facebook,Post_23,Carousel,472,106,44,9827,24238
7/23/2023,Twitter,Post_99,Carousel,856,457,5,17585,21424
11/02/2023,Twitter,Post_78,Image,730,0,222,35276,43184
5/28/2023,Instagram,Post_66,Image,858,464,23,78036,46797
03/09/2023,Twitter,Post_21,Carousel,635,480,97,21691,22021
05/08/2023,Facebook,Post_100,Image,182,246,51,94733,75182
3/15/2023,Instagram,Post_61,Carousel,410,278,109,24950,23730
8/28/2023,Twitter,Post_2,Video,420,449,102,2145,43266
8/23/2023,Instagram,Post_58,Text,903,125,264,45851,21993
3/21/2023,Instagram,Post_24,Carousel,386,250,215,5782,154328
3/13/2023,Facebook,Post_68,Text,40,179,283,70780,47908
6/22/2023,Twitter,Post_58,Video,549,458,281,54888,42837
7/24/2023,Twitter,Post_14,Text,926,119,39,95766,13238
10/17/2023,Instagram,Post_78,Carousel,194,468,194,33542,129612
11/02/2023,Instagram,Post_71,Video,506,331,0,52591,122024
9/13/2023,Twitter,Post_2,Image,902,58,31,72406,29120
4/17/2023,Facebook,Post_60,Video,579,49,101,87429,55897
6/19/2023,Facebook,Post_95,Image,589,57,177,13939,65868
08/09/2023,Facebook,Post_3,Image,660,6,84,50594,99978
3/23/2023,Twitter,Post_79,Video,157,132,213,13039,26338
10/31/2023,Instagram,Post_79,Video,190,146,102,49592,61854
12/23/2023,Instagram,Post_24,Carousel,607,155,17,33854,53233
10/12/2023,Facebook,Post_93,Image,851,284,110,17526,55977
02/09/2023,Instagram,Post_96,Carousel,969,393,154,11355,96995
1/26/2023,Facebook,Post_34,Carousel,712,442,214,50457,55267
12/30/2023,Facebook,Post_34,Video,162,299,236,16874,42206
7/31/2023,Facebook,Post_44,Image,917,273,179,64557,76415
6/25/2023,Facebook,Post_59,Video,884,408,125,94542,12495
6/18/2023,Facebook,Post_47,Text,885,46,216,7668,15525
2/21/2023,Facebook,Post_97,Text,571,390,133,91354,26625
9/18/2023,Instagram,Post_57,Image,281,190,139,65048,41862
4/14/2023,Twitter,Post_53,Carousel,864,434,157,73445,44383
6/22/2023,Facebook,Post_69,Video,905,27,43,41048,73464
7/13/2023,Instagram,Post_12,Carousel,887,296,46,80150,88549
8/21/2023,Twitter,Post_20,Carousel,379,283,123,96474,9802
05/03/2023,Twitter,Post_25,Video,241,478,16,11774,31820
3/24/2023,Twitter,Post_39,Video,137,216,281,51964,6731
05/04/2023,Instagram,Post_12,Carousel,370,260,158,65903,137171
03/07/2023,Instagram,Post_89,Carousel,92,227,90,75123,124792
10/27/2023,Twitter,Post_78,Carousel,53,461,276,20186,27303
6/24/2023,Instagram,Post_43,Text,470,131,238,50630,108559
10/19/2023,Facebook,Post_79,Video,82,468,260,69337,59315
11/30/2023,Instagram,Post_5,Carousel,637,202,229,34998,120923
12/07/2023,Facebook,Post_96,Image,266,416,77,28814,98367
1/16/2023,Instagram,Post_39,Text,669,303,160,90013,176819
12/17/2023,Instagram,Post_70,Text,700,393,252,51346,191088
03/05/2023,Facebook,Post_20,Text,547,59,24,87769,83885
7/23/2023,Instagram,Post_38,Image,203,34,27,63923,43452
09/03/2023,Twitter,Post_34,Video,553,484,108,80062,15730
11/24/2023,Facebook,Post_21,Image,31,52,35,55859,61596
12/13/2023,Facebook,Post_69,Text,637,19,60,78709,49771
08/03/2023,Instagram,Post_97,Image,531,85,140,81159,116018
4/25/2023,Twitter,Post_51,Image,895,32,3,68593,47416
12/15/2023,Facebook,Post_37,Video,257,474,211,11420,15525
06/04/2023,Instagram,Post_28,Carousel,286,238,280,61178,176272
2/13/2023,Twitter,Post_32,Image,693,44,190,71036,17730
8/29/2023,Facebook,Post_34,Carousel,578,330,161,38798,34967
8/18/2023,Twitter,Post_13,Video,269,209,113,17084,39578
8/18/2023,Instagram,Post_54,Carousel,688,217,285,96766,76874
12/06/2023,Twitter,Post_42,Video,114,125,113,9428,5101
12/28/2023,Instagram,Post_79,Video,150,141,184,78305,151804
07/07/2023,Instagram,Post_54,Carousel,591,13,16,94080,121577
11/25/2023,Instagram,Post_86,Image,498,240,248,11210,178570
8/25/2023,Instagram,Post_62,Image,303,362,257,28799,171529
10/28/2023,Instagram,Post_63,Video,680,53,239,47468,153197
6/30/2023,Twitter,Post_51,Text,184,190,186,72500,12742
10/08/2023,Facebook,Post_59,Video,142,42,9,49015,33872
04/11/2023,Twitter,Post_57,Image,913,327,157,27896,36632
9/19/2023,Twitter,Post_32,Text,885,23,155,14716,19607
5/23/2023,Twitter,Post_64,Image,919,460,233,67795,39484
1/15/2023,Instagram,Post_78,Image,662,262,135,16655,108007
04/05/2023,Instagram,Post_68,Video,241,78,250,82635,88665
05/01/2023,Facebook,Post_80,Image,31,493,236,96690,98375
1/27/2023,Facebook,Post_6,Text,891,65,184,36656,86664
1/24/2023,Instagram,Post_2,Text,540,189,52,41446,30230
1/18/2023,Twitter,Post_13,Image,802,9,193,74366,10755
4/18/2023,Instagram,Post_95,Carousel,620,83,66,5624,166134
09/04/2023,Instagram,Post_9,Video,279,444,120,10002,119845
10/30/2023,Twitter,Post_25,Carousel,37,486,23,55924,19495
2/19/2023,Twitter,Post_86,Text,32,109,264,62499,15367
02/05/2023,Twitter,Post_80,Text,883,166,70,93597,19505
1/22/2023,Instagram,Post_38,Video,941,251,284,37277,155456
8/26/2023,Twitter,Post_87,Carousel,932,3,254,33943,33605
09/10/2023,Twitter,Post_31,Text,378,474,105,44045,29363
6/19/2023,Facebook,Post_69,Video,827,1,36,30745,92150
7/14/2023,Twitter,Post_25,Text,352,354,210,57280,15325
07/08/2023,Twitter,Post_36,Carousel,464,327,86,16114,48691
12/06/2023,Facebook,Post_7,Image,14,63,156,28628,63945
11/08/2023,Twitter,Post_93,Video,211,295,21,72732,13398
10/27/2023,Instagram,Post_67,Image,539,471,96,44725,138664
11/18/2023,Instagram,Post_61,Carousel,409,42,221,90378,76656
06/10/2023,Facebook,Post_21,Image,233,258,266,12332,25691
04/04/2023,Twitter,Post_99,Image,610,33,223,76664,39857
07/07/2023,Instagram,Post_26,Image,137,332,51,55432,49958
05/07/2023,Twitter,Post_12,Image,630,437,276,77127,30715
7/29/2023,Instagram,Post_28,Carousel,351,145,61,91482,50857
08/02/2023,Instagram,Post_46,Image,21,466,152,82574,178454
1/15/2023,Twitter,Post_99,Carousel,716,311,274,96723,35142
12/10/2023,Twitter,Post_73,Image,767,174,150,93219,7455
7/14/2023,Instagram,Post_13,Video,327,108,181,84432,180911
9/29/2023,Facebook,Post_14,Carousel,270,459,190,99396,87376
06/07/2023,Facebook,Post_72,Video,763,146,200,20576,91419
03/02/2023,Facebook,Post_73,Carousel,416,411,19,87157,94595
12/11/2023,Twitter,Post_9,Text,879,78,62,50164,19166
2/26/2023,Twitter,Post_33,Carousel,501,154,258,71131,25068
10/21/2023,Facebook,Post_61,Video,468,117,115,31589,96441
5/27/2023,Facebook,Post_15,Carousel,93,0,79,81242,92042
12/28/2023,Facebook,Post_46,Image,198,361,31,2866,85134
9/13/2023,Facebook,Post_77,Image,768,480,285,23737,94081
12/15/2023,Facebook,Post_65,Text,449,116,274,85457,26969
7/27/2023,Facebook,Post_81,Carousel,236,41,113,19701,85419
12/20/2023,Facebook,Post_84,Carousel,810,146,108,14668,75645
1/13/2023,Twitter,Post_7,Text,438,411,144,71393,24072
1/30/2023,Instagram,Post_88,Text,300,494,121,56504,152275
06/08/2023,Instagram,Post_79,Text,994,85,115,83913,24347
04/07/2023,Instagram,Post_8,Video,789,9,32,53951,20750
4/27/2023,Facebook,Post_48,Text,702,192,15,66440,32131
5/26/2023,Twitter,Post_65,Video,697,447,219,33728,39916
12/05/2023,Twitter,Post_75,Text,914,107,188,62234,27263
9/21/2023,Instagram,Post_7,Video,231,379,207,72075,194021
12/09/2023,Twitter,Post_76,Text,428,229,175,8247,33201
07/12/2023,Facebook,Post_10,Image,810,34,229,67872,81062
02/05/2023,Facebook,Post_29,Video,459,390,61,95166,29405
03/09/2023,Instagram,Post_21,Image,853,421,212,25194,154235
11/12/2023,Twitter,Post_68,Image,874,275,273,80531,9730
09/09/2023,Twitter,Post_54,Text,426,106,300,12209,12888
12/17/2023,Twitter,Post_65,Text,21,247,59,88956,8674
6/18/2023,Facebook,Post_83,Carousel,925,74,29,55098,10129
5/16/2023,Instagram,Post_100,Video,740,62,31,36139,39152
3/24/2023,Instagram,Post_70,Carousel,532,33,176,22673,194527
6/26/2023,Facebook,Post_89,Carousel,595,207,284,4031,43735
12/02/2023,Instagram,Post_96,Video,397,291,275,55125,185737
9/13/2023,Facebook,Post_85,Carousel,711,403,150,87932,63235
1/19/2023,Facebook,Post_19,Text,924,172,100,36917,42886
10/01/2023,Instagram,Post_10,Carousel,275,80,208,84101,153021
03/08/2023,Facebook,Post_96,Image,227,343,34,33965,36579
08/04/2023,Facebook,Post_59,Text,946,97,71,69542,36600
6/19/2023,Facebook,Post_14,Text,669,326,216,23524,27032
7/28/2023,Twitter,Post_45,Carousel,429,92,283,33169,21298
1/26/2023,Instagram,Post_81,Video,550,378,253,32823,30614
10/31/2023,Twitter,Post_98,Video,864,340,283,14023,38243
11/21/2023,Facebook,Post_25,Carousel,20,247,7,22350,34521
03/04/2023,Facebook,Post_74,Video,895,449,216,93412,30734
5/20/2023,Instagram,Post_37,Video,688,484,47,87818,177511
8/13/2023,Instagram,Post_5,Image,923,68,25,6263,44298
5/18/2023,Instagram,Post_29,Video,604,107,27,33867,115917
06/08/2023,Facebook,Post_100,Video,371,439,64,50962,86661
10/23/2023,Instagram,Post_83,Carousel,908,476,248,69472,155027
8/18/2023,Facebook,Post_86,Image,193,103,85,83876,83147
6/13/2023,Instagram,Post_100,Image,110,341,84,86756,33135
7/13/2023,Instagram,Post_67,Image,307,85,92,66558,94009
11/26/2023,Facebook,Post_82,Carousel,772,71,255,95860,58887
08/05/2023,Facebook,Post_85,Carousel,836,454,273,33976,65485
03/06/2023,Twitter,Post_92,Text,829,387,13,19839,35876
8/31/2023,Instagram,Post_56,Text,98,54,59,48457,121577
12/17/2023,Twitter,Post_74,Text,96,449,3,35850,29769
02/06/2023,Twitter,Post_25,Video,831,495,178,86371,31553
8/13/2023,Instagram,Post_13,Text,634,105,89,62836,86322
12/24/2023,Facebook,Post_80,Video,472,31,209,78105,69698
2/23/2023,Facebook,Post_21,Text,827,274,163,80113,79338
1/22/2023,Facebook,Post_81,Image,987,289,178,1397,15497
4/14/2023,Instagram,Post_24,Carousel,530,111,104,7386,103299
6/29/2023,Facebook,Post_17,Text,779,71,177,26949,55416
10/07/2023,Twitter,Post_32,Video,777,376,103,68677,7095
4/26/2023,Twitter,Post_20,Text,239,48,245,94501,49691
1/27/2023,Instagram,Post_76,Carousel,852,201,211,37982,83396
4/25/2023,Instagram,Post_60,Image,886,254,23,33777,97660
10/28/2023,Twitter,Post_44,Video,691,422,251,49387,39770
02/07/2023,Twitter,Post_60,Text,804,123,279,70217,34833
9/28/2023,Instagram,Post_69,Image,810,306,18,45363,22883
03/09/2023,Facebook,Post_79,Image,693,120,104,62121,82719
2/27/2023,Twitter,Post_4,Image,957,317,241,43770,26296
4/16/2023,Twitter,Post_31,Video,50,105,104,24125,19470
08/09/2023,Facebook,Post_96,Text,184,76,176,89692,16000
8/23/2023,Twitter,Post_34,Carousel,969,331,127,83641,17730
03/02/2023,Instagram,Post_97,Carousel,132,4,160,42656,85829
3/27/2023,Facebook,Post_64,Image,759,259,192,89421,14078
6/29/2023,Facebook,Post_58,Carousel,653,25,105,57417,26155
2/22/2023,Twitter,Post_49,Image,423,62,73,50789,39099
09/09/2023,Twitter,Post_24,Text,865,83,186,77192,12570
12/18/2023,Twitter,Post_39,Text,11,71,211,94187,14063
8/21/2023,Instagram,Post_92,Image,557,443,51,91412,107948
6/23/2023,Facebook,Post_25,Image,644,452,201,1361,99536
4/27/2023,Facebook,Post_2,Image,978,477,185,49610,20504
2/21/2023,Twitter,Post_43,Video,489,351,168,61086,29233
6/21/2023,Twitter,Post_15,Text,344,318,284,20561,22897
03/05/2023,Facebook,Post_71,Text,153,308,156,72351,93468
8/30/2023,Facebook,Post_47,Carousel,438,308,253,6289,47625
6/23/2023,Facebook,Post_52,Image,142,236,129,61458,21214
5/19/2023,Twitter,Post_99,Video,50,285,83,81321,44549
10/29/2023,Instagram,Post_38,Text,273,11,186,69431,126033
2/28/2023,Instagram,Post_57,Text,919,284,144,39772,85449
7/31/2023,Instagram,Post_77,Text,800,90,257,22804,110304
8/24/2023,Instagram,Post_34,Video,306,211,260,75551,40292
12/19/2023,Instagram,Post_27,Video,259,130,298,35768,101293
10/08/2023,Instagram,Post_89,Text,791,434,104,96193,88424
10/12/2023,Instagram,Post_10,Video,143,410,163,21336,37880
06/10/2023,Facebook,Post_30,Text,350,139,120,94066,58654
8/28/2023,Facebook,Post_100,Text,829,225,238,62367,51861
05/08/2023,Twitter,Post_23,Text,867,229,286,9871,34833
12/01/2023,Twitter,Post_30,Carousel,4,177,295,16567,6787
2/28/2023,Instagram,Post_73,Video,834,156,13,65751,133844
10/25/2023,Instagram,Post_40,Carousel,37,409,116,30840,142948
07/02/2023,Facebook,Post_51,Image,560,159,115,47719,21171
07/01/2023,Twitter,Post_96,Text,844,375,93,60871,39822
09/01/2023,Facebook,Post_40,Text,864,283,275,92693,38617
11/03/2023,Instagram,Post_90,Video,393,284,211,74710,64894
08/10/2023,Instagram,Post_57,Image,922,48,217,9723,71325
5/25/2023,Facebook,Post_78,Image,128,163,269,85759,26220
10/05/2023,Twitter,Post_39,Video,587,140,148,24816,20485
6/28/2023,Twitter,Post_78,Text,589,87,57,24387,31120
11/11/2023,Facebook,Post_93,Text,510,382,183,49035,55158
08/11/2023,Facebook,Post_44,Text,377,221,214,74199,83016
9/19/2023,Instagram,Post_78,Text,885,366,140,4907,74516
8/31/2023,Twitter,Post_61,Image,381,391,59,14261,43767
4/22/2023,Facebook,Post_19,Carousel,40,484,186,51288,28639
05/11/2023,Facebook,Post_97,Video,175,65,200,82612,78291
12/27/2023,Instagram,Post_98,Video,26,349,163,39302,137362
11/09/2023,Instagram,Post_46,Carousel,337,115,221,20469,99257
12/29/2023,Instagram,Post_77,Video,934,268,70,99671,48879
11/29/2023,Instagram,Post_50,Carousel,940,481,74,59409,50450
9/24/2023,Twitter,Post_3,Image,106,35,108,67407,6421
2/13/2023,Facebook,Post_84,Video,969,130,280,63436,23463
08/02/2023,Facebook,Post_21,Carousel,87,387,300,11579,13871
09/10/2023,Twitter,Post_16,Text,355,222,128,70728,15325
10/01/2023,Instagram,Post_93,Image,22,391,83,54599,197550
8/21/2023,Facebook,Post_71,Video,563,427,165,32858,74347
6/29/2023,Twitter,Post_72,Video,149,449,137,3955,38501
2/26/2023,Twitter,Post_87,Carousel,793,20,84,40759,16744
01/06/2023,Twitter,Post_67,Carousel,723,447,19,74068,40999
12/02/2023,Twitter,Post_86,Image,340,169,203,68121,48934
5/22/2023,Instagram,Post_17,Image,276,257,281,58583,57548
2/16/2023,Twitter,Post_39,Text,709,33,180,86354,25645
1/23/2023,Facebook,Post_42,Carousel,389,403,42,41603,29058
6/15/2023,Instagram,Post_75,Text,253,138,206,7767,66548
12/10/2023,Instagram,Post_5,Carousel,298,289,168,4157,28011
09/10/2023,Instagram,Post_90,Carousel,456,191,103,73971,151600
8/17/2023,Twitter,Post_9,Image,414,228,104,69103,25679
03/08/2023,Facebook,Post_25,Video,903,275,31,57122,33783
05/10/2023,Facebook,Post_89,Text,286,68,276,7736,67803
9/16/2023,Twitter,Post_44,Carousel,607,16,107,34514,13228
4/24/2023,Instagram,Post_85,Video,122,314,198,15402,91468
5/15/2023,Facebook,Post_100,Image,686,432,150,21339,29389
2/26/2023,Twitter,Post_41,Carousel,632,421,31,17575,31277
09/09/2023,Twitter,Post_24,Image,743,252,38,50048,20436
7/19/2023,Facebook,Post_50,Carousel,633,469,229,65295,69327
9/30/2023,Facebook,Post_9,Text,407,129,22,46940,33974
2/20/2023,Twitter,Post_33,Carousel,548,141,55,39751,35325
8/26/2023,Facebook,Post_89,Carousel,96,275,103,45276,99951
11/25/2023,Twitter,Post_39,Carousel,257,469,246,34509,12430
03/04/2023,Facebook,Post_73,Video,626,260,181,78774,69713
9/21/2023,Twitter,Post_74,Image,382,392,267,26921,49118
05/04/2023,Facebook,Post_28,Text,564,163,270,9528,85909
5/28/2023,Twitter,Post_20,Image,791,80,96,4669,5207
06/11/2023,Instagram,Post_46,Image,113,386,113,86763,142778
4/26/2023,Facebook,Post_86,Carousel,438,362,291,64851,96008
04/05/2023,Facebook,Post_68,Text,991,410,198,85575,42836
8/19/2023,Instagram,Post_61,Text,7,494,252,59471,187582
01/04/2023,Twitter,Post_79,Video,638,327,213,8038,6839
04/03/2023,Facebook,Post_77,Video,902,462,99,80154,59041
12/12/2023,Twitter,Post_61,Text,174,452,178,62634,34349
4/14/2023,Instagram,Post_68,Video,656,80,173,88496,28181
11/22/2023,Twitter,Post_3,Text,891,315,173,34347,38831
5/29/2023,Facebook,Post_35,Text,777,373,153,85494,38189
05/08/2023,Instagram,Post_70,Carousel,459,189,50,85797,98235
05/08/2023,Facebook,Post_9,Text,968,270,255,98354,40829
06/08/2023,Twitter,Post_62,Video,40,142,282,5249,33198
12/26/2023,Instagram,Post_79,Video,118,60,152,50737,170305
10/01/2023,Instagram,Post_57,Video,267,58,86,9459,92530
03/01/2023,Facebook,Post_16,Image,810,183,167,8796,92249
05/02/2023,Facebook,Post_48,Video,159,413,30,79558,32562
11/03/2023,Instagram,Post_67,Carousel,963,119,20,89259,100169
04/03/2023,Twitter,Post_20,Video,739,448,70,82601,36758
10/05/2023,Facebook,Post_47,Carousel,599,168,18,9967,36746
08/11/2023,Instagram,Post_23,Image,117,313,8,90822,43434
6/25/2023,Facebook,Post_58,Text,361,460,294,29271,94595
08/05/2023,Facebook,Post_94,Image,996,88,153,7568,78291
10/17/2023,Instagram,Post_25,Image,469,475,119,52934,37268
10/19/2023,Facebook,Post_49,Video,851,255,127,32489,69382
07/08/2023,Facebook,Post_50,Text,342,211,237,33951,59079
10/19/2023,Twitter,Post_16,Image,455,360,98,7787,25154
6/29/2023,Twitter,Post_90,Text,266,42,204,94688,33198
12/15/2023,Twitter,Post_20,Video,594,7,40,55997,28253
11/25/2023,Facebook,Post_76,Image,549,397,283,18415,11558
03/12/2023,Instagram,Post_4,Video,890,466,278,35530,85426
11/15/2023,Twitter,Post_33,Carousel,911,338,77,32474,12948
8/21/2023,Instagram,Post_58,Video,187,461,14,94069,157922
8/23/2023,Facebook,Post_58,Text,282,438,91,49156,12538
6/22/2023,Twitter,Post_95,Text,537,356,186,75147,12980
4/16/2023,Instagram,Post_4,Image,319,186,239,78245,133294
10/24/2023,Twitter,Post_92,Text,213,87,46,70576,6218
